Time: 72.1121900082 seconds, RAM: 37.49609375 Mb.
Time: 71.4914560318 seconds, RAM: 37.5234375 Mb.
Time: 69.6822080612 seconds, RAM: 38.08984375 Mb.
Time: 65.8096089363 seconds, RAM: 37.77734375 Mb.
Time: 65.4906699657 seconds, RAM: 37.99609375 Mb.
Time: 67.0943160057 seconds, RAM: 37.859375 Mb.
Time: 66.4893519878 seconds, RAM: 37.484375 Mb.
Time: 67.5768840313 seconds, RAM: 37.6796875 Mb.
Time: 69.4369189739 seconds, RAM: 37.56640625 Mb.
Time: 69.1846148968 seconds, RAM: 38.00390625 Mb.
Time: 63.0434799194 seconds, RAM: 37.96875 Mb.
Time: 61.9478199482 seconds, RAM: 37.34765625 Mb.
Time: 60.5843918324 seconds, RAM: 37.8203125 Mb.
Time: 61.4302709103 seconds, RAM: 37.515625 Mb.
