Time: 64.225782156 seconds, RAM: 37.6953125 Mb.
Time: 66.3043620586 seconds, RAM: 37.66015625 Mb.
Time: 70.8020439148 seconds, RAM: 37.671875 Mb.
Time: 73.6959309578 seconds, RAM: 37.87109375 Mb.
Time: 69.1045639515 seconds, RAM: 37.60546875 Mb.
Time: 72.8426120281 seconds, RAM: 37.74609375 Mb.
Time: 71.0078558922 seconds, RAM: 37.734375 Mb.
Time: 62.811205864 seconds, RAM: 38.0859375 Mb.
Time: 69.8630139828 seconds, RAM: 37.85546875 Mb.
Time: 67.5851280689 seconds, RAM: 37.5390625 Mb.
Time: 67.4903690815 seconds, RAM: 37.7890625 Mb.
Time: 67.962553978 seconds, RAM: 37.78515625 Mb.
Time: 67.5090441704 seconds, RAM: 37.4609375 Mb.
Time: 66.8103249073 seconds, RAM: 37.59375 Mb.
Time: 72.0213220119 seconds, RAM: 37.875 Mb.
Time: 76.6935660839 seconds, RAM: 37.7578125 Mb.
Time: 70.2845921516 seconds, RAM: 37.84765625 Mb.
Time: 72.0667159557 seconds, RAM: 37.6796875 Mb.
Time: 79.7622201443 seconds, RAM: 37.9765625 Mb.
Time: 77.7791268826 seconds, RAM: 37.73828125 Mb.
